date,USD,EUR
3/6/2021,7.4524,8.9768
3/7/2021,7.4524,8.9768
3/8/2021,7.5096,8.9643
3/9/2021,7.5939,9.0208
3/10/2021,7.6403,9.0851
3/11/2021,7.5952,9.0315
3/12/2021,7.4446,8.8995
3/13/2021,7.4446,8.8995
3/14/2021,7.4446,8.8995
3/15/2021,7.5709,9.0326
3/16/2021,7.5374,8.9912
3/17/2021,7.5041,8.954
3/18/2021,7.498,8.9242
3/19/2021,7.4573,8.9113
3/20/2021,7.4573,8.9113
3/21/2021,7.4573,8.9113
3/22/2021,7.267,8.6566
3/23/2021,7.904,9.4069
3/24/2021,7.8082,9.2902
3/25/2021,7.9666,9.4257
3/26/2021,7.9409,9.3778
3/27/2021,7.9409,9.3778
3/28/2021,7.9409,9.3778
3/29/2021,7.9893,9.415
3/30/2021,8.1192,9.5618
3/31/2021,8.326,9.7741
4/1/2021,8.3258,9.7688
4/2/2021,8.1707,9.5898
4/3/2021,8.1707,9.5898
4/4/2021,8.1707,9.5898
4/5/2021,8.0362,9.4646
4/6/2021,8.1394,9.5622
4/7/2021,8.1441,9.6191
4/8/2021,8.1688,9.7075
4/9/2021,8.1518,9.6808
4/10/2021,8.1518,9.6808
4/11/2021,8.1518,9.6808
4/12/2021,8.1383,9.6777
4/13/2021,8.1681,9.7149
4/14/2021,8.1383,9.6805
4/15/2021,8.0729,9.6558
4/16/2021,8.0567,9.647
4/17/2021,8.0567,9.647
4/18/2021,8.0567,9.647
4/19/2021,8.0574,9.6524
4/20/2021,8.0514,9.6802
4/21/2021,8.1011,9.7718
4/22/2021,8.1433,9.7816
4/23/2021,8.1433,9.7816
4/24/2021,8.1433,9.7816
4/25/2021,8.1433,9.7816
4/26/2021,8.2694,9.9576
4/27/2021,8.3295,10.0735
4/28/2021,8.231,9.9371
4/29/2021,8.186,9.8799
4/30/2021,8.1753,9.909
5/1/2021,8.1753,9.909
5/2/2021,8.1753,9.909
5/3/2021,8.2311,9.9545
5/4/2021,8.292,9.9885
5/5/2021,8.3091,9.9837
5/6/2021,8.34,10.0109
5/7/2021,8.3062,9.9979
5/8/2021,8.3062,9.9979
5/9/2021,8.3062,9.9979
5/10/2021,8.273,9.9879
5/11/2021,8.2457,10.0284
5/12/2021,8.2867,10.0727
5/13/2021,8.2867,10.0727
5/14/2021,8.2867,10.0727
5/15/2021,8.2867,10.0727
5/16/2021,8.2867,10.0727
5/17/2021,8.2867,10.0727
5/18/2021,8.3469,10.1403
5/19/2021,8.3469,10.1403
5/20/2021,8.3281,10.1667
5/21/2021,8.3689,10.2043
5/22/2021,8.3689,10.2043
5/23/2021,8.3689,10.2043
5/24/2021,8.3554,10.2072
5/25/2021,8.3811,10.2278
5/26/2021,8.3947,10.2861
5/27/2021,8.433,10.3227
5/28/2021,8.4323,10.2849
5/29/2021,8.4323,10.2849
5/30/2021,8.4323,10.2849
5/31/2021,8.5496,10.4147
6/1/2021,8.499,10.3629
6/2/2021,8.5032,10.3998
6/3/2021,8.6066,10.4895
6/4/2021,8.6231,10.5091
6/5/2021,8.6231,10.5091
6/6/2021,8.6231,10.5091
6/7/2021,8.682,10.516
6/8/2021,8.6201,10.4825
6/9/2021,8.5891,10.4585
6/10/2021,8.575,10.4515
6/11/2021,8.5313,10.3808
6/12/2021,8.5313,10.3808
6/13/2021,8.5313,10.3808
6/14/2021,8.3547,10.1615
6/15/2021,8.3374,10.0998
6/16/2021,8.5474,10.3646
6/17/2021,8.5218,10.3327
6/18/2021,8.6243,10.3072
6/19/2021,8.6243,10.3072
6/20/2021,8.6243,10.3072
6/21/2021,8.6646,10.3197
6/22/2021,8.7497,10.4032
6/23/2021,8.7202,10.3722
6/24/2021,8.6139,10.2828
6/25/2021,8.6593,10.3356
6/26/2021,8.6593,10.3356
6/27/2021,8.6593,10.3356
6/28/2021,8.6772,10.3646
6/29/2021,8.7219,10.4077
6/30/2021,8.7052,10.3645
7/1/2021,8.6803,10.3249
7/2/2021,8.6768,10.2889
7/3/2021,8.6768,10.2889
7/4/2021,8.6768,10.2889
7/5/2021,8.6797,10.2657
7/6/2021,8.665,10.287
7/7/2021,8.6515,10.2562
7/8/2021,8.6657,10.2469
7/9/2021,8.6867,10.2721
7/10/2021,8.6867,10.2721
7/11/2021,8.6867,10.2721
7/12/2021,8.6715,10.2712
7/13/2021,8.6319,10.2354
7/14/2021,8.6033,10.1926
7/15/2021,8.6033,10.1926
7/16/2021,8.6123,10.156
7/17/2021,8.6123,10.156
7/18/2021,8.6123,10.156
7/19/2021,8.5099,10.0483
7/20/2021,8.5099,10.0483
7/21/2021,8.5099,10.0483
7/22/2021,8.5099,10.0483
7/23/2021,8.5099,10.0483
7/24/2021,8.5099,10.0483
7/25/2021,8.5099,10.0483
7/26/2021,8.5099,10.0483
7/27/2021,8.573,10.105
7/28/2021,8.5604,10.0896
7/29/2021,8.5446,10.0929
7/30/2021,8.4975,10.0862
7/31/2021,8.4975,10.0862
8/1/2021,8.4975,10.0862
8/2/2021,8.4139,10.0084
8/3/2021,8.385,9.9677
8/4/2021,8.3229,9.8906
8/5/2021,8.4193,9.9891
8/6/2021,8.5262,10.0976
8/7/2021,8.5262,10.0976
8/8/2021,8.5262,10.0976
8/9/2021,8.5619,10.1149
8/10/2021,8.6426,10.1622
8/11/2021,8.6205,10.1112
8/12/2021,8.6244,10.1014
8/13/2021,8.5723,10.064
8/14/2021,8.5723,10.064
8/15/2021,8.5723,10.064
8/16/2021,8.5359,10.0251
8/17/2021,8.4681,9.9762
8/18/2021,8.4141,9.9022
8/19/2021,8.4632,9.9174
8/20/2021,8.5111,9.9491
8/21/2021,8.5111,9.9491
8/22/2021,8.5111,9.9491
8/23/2021,8.5254,9.9551
8/24/2021,8.4572,9.9144
8/25/2021,8.4132,9.8728
8/26/2021,8.3797,9.8404
8/27/2021,8.3578,9.8352
8/28/2021,8.3578,9.8352
8/29/2021,8.3578,9.8352
8/30/2021,8.3578,9.8352
8/31/2021,8.3753,9.8494
9/1/2021,8.3043,9.8228
9/2/2021,8.2876,9.791
9/3/2021,8.2633,9.7911
9/4/2021,8.2633,9.7911
9/5/2021,8.2633,9.7911
9/6/2021,8.295,9.8492
9/7/2021,8.2767,9.8199
9/8/2021,8.2981,9.8506
9/9/2021,8.4063,9.9394
9/10/2021,8.4655,10.0142
9/11/2021,8.4655,10.0142
9/12/2021,8.4655,10.0142
9/13/2021,8.4044,9.9478
9/14/2021,8.4441,9.9496
9/15/2021,8.4314,9.9615
9/16/2021,8.4272,9.9616
9/17/2021,8.4402,9.9382
9/18/2021,8.4402,9.9382
9/19/2021,8.4402,9.9382
9/20/2021,8.5678,10.0921
9/21/2021,8.6648,10.1467
9/22/2021,8.6301,10.1272
9/23/2021,8.6349,10.1291
9/24/2021,8.6584,10.1456
9/25/2021,8.6584,10.1456
9/26/2021,8.6584,10.1456
9/27/2021,8.824,10.3526
9/28/2021,8.8355,10.3364
9/29/2021,8.8585,10.3486
9/30/2021,8.8433,10.3135
10/1/2021,8.8785,10.2933
10/2/2021,8.8785,10.2933
10/3/2021,8.8785,10.2933
10/4/2021,8.8469,10.2484
10/5/2021,8.8522,10.2822
10/6/2021,8.8444,10.2583
10/7/2021,8.9065,10.2876
10/8/2021,8.8609,10.2469
10/9/2021,8.8609,10.2469
10/10/2021,8.8609,10.2469
10/11/2021,8.8982,10.2832
10/12/2021,8.9367,10.3398
10/13/2021,8.9996,10.4026
10/14/2021,9.0222,10.4268
10/15/2021,9.1416,10.612
10/16/2021,9.1416,10.612
10/17/2021,9.1416,10.612
10/18/2021,9.1993,10.6785
10/19/2021,9.2667,10.7375
10/20/2021,9.2845,10.8237
10/21/2021,9.314,10.8308
10/22/2021,9.2857,10.8108
10/23/2021,9.2857,10.8108
10/24/2021,9.2857,10.8108
10/25/2021,9.586,11.1566
10/26/2021,9.7362,11.3283
10/27/2021,9.4575,10.9812
10/28/2021,9.4813,10.998
10/29/2021,9.4813,10.998
10/30/2021,9.4813,10.998
10/31/2021,9.4813,10.998
11/1/2021,9.4813,10.998
11/2/2021,9.5287,11.0216
11/3/2021,9.5171,11.0413
11/4/2021,9.657,11.1892
11/5/2021,9.6884,11.199
11/6/2021,9.6884,11.199
11/7/2021,9.6884,11.199
11/8/2021,9.7,11.1995
11/9/2021,9.6848,11.2013
11/10/2021,9.7029,11.2469
11/11/2021,9.7812,11.3156
11/12/2021,9.917,11.3726
11/13/2021,9.917,11.3726
11/14/2021,9.917,11.3726
11/15/2021,9.9105,11.3448
11/16/2021,9.9804,11.4282
11/17/2021,10.1671,11.5606
11/18/2021,10.3993,11.7627
11/19/2021,10.6963,12.1224
11/20/2021,10.6963,12.1224
11/21/2021,10.6963,12.1224
11/22/2021,11.0266,12.4815
11/23/2021,11.1712,12.5938
11/24/2021,12.1556,13.6789
11/25/2021,12.6082,14.1524
11/26/2021,12.0001,13.464
